rep,seed,elapsed,peak_infected,peak_day,max_exposed,auc_I
1,1608637542,382.468868970871,7369,30,4759,533551.0
2,1273642419,290.7846429347992,7406,32,4625,530191.0
3,1935803228,648.2763411998749,7277,31,4684,535065.0
4,787846414,307.2020242214203,7321,32,4695,535775.0
5,996406378,423.24348855018616,7284,31,4701,530014.5
6,1201263687,624.988222360611,7173,32,4666,531729.0
7,423734972,596.7116851806641,7297,32,4684,546547.0
8,415968276,377.6531331539154,7151,32,4644,532864.5
9,670094950,682.9715602397919,7299,32,4661,540604.5
10,1914837113,607.8378012180328,7310,33,4767,537321.5
11,669991378,519.7423141002655,7260,32,4651,535959.5
12,429389014,334.92472195625305,7296,31,4711,543005.0
13,249467210,496.98995900154114,7268,32,4617,527028.5
14,1972458954,930.8798084259033,7372,31,4794,546622.5
15,1572714583,396.4613935947418,7456,32,4732,546220.0
16,1433267572,355.8550102710724,7215,31,4623,525845.5
17,434285667,526.9789769649506,7304,30,4623,538029.0
18,613608295,368.58312129974365,7339,31,4739,529707.0
19,893664919,620.7938899993896,7288,32,4765,523856.0
20,648061058,812.4875988960266,7141,31,4722,546460.5
21,88409749,412.3782799243927,7302,32,4726,546915.5
22,242285876,413.9209575653076,7247,33,4658,536202.5
23,2018247425,486.6321098804474,7181,33,4677,539611.5
24,953477463,383.58592677116394,7465,31,4768,541174.0
25,1427830251,586.6736943721771,7282,32,4763,538940.5
26,1883569565,530.935925245285,7427,31,4687,547918.5
27,911989541,347.9732275009155,7184,31,4665,538176.5
28,3344769,411.4583468437195,7287,30,4698,535514.5
29,780932287,336.58145236968994,7331,31,4697,540733.0
30,2114032571,321.1700987815857,7349,31,4828,546083.5
